4,108,0,0,0
4,113,0,0,0
4.1,1,1,-251.179,0
4.1,1,0,0,0
4.1,178,1,-46.7786,0
4.2,16,1,-351.07,0
4.2,10,1,-186.309,0
4.2,7,1,-3.99252,0
4.2,342,0,0,0
4.2,433,0,0,0
4.2,543,0,0,0
4.2,6,1,-190.172,0
4.3,173,1,-1250.75,0
4.3,10,1,-518.176,0
4.3,10,1,-395.345,0
4.3,10,1,-47.6975,0
4.3,266,1,-7.52633,0
4.3,78,0,0,0
4.3,89,0,0,0
4.3,93,0,0,0
4.3,216,0,0,0
4.3,330,0,0,0
4.3,615,0,0,0
4.4,147,1,-1388.59,0
4.4,112,1,-359.054,0
4.4,10,1,-302.68,0
4.4,10,1,-199.244,0
4.4,10,1,-64.3871,0
4.4,167,1,-3.08088,0
4.4,5,1,-0.614029,0
4.4,30,0,0,1
4.4,95,0,0,0
4.4,108,0,0,0
4.4,159,0,0,0
4.4,219,0,0,0
4.4,9,1,-180.694,0
4.5,123,1,-1812.52,0
4.5,109,1,-1251.4,0
4.5,25,1,-998.747,0
4.5,34,1,-698.967,0
4.5,10,1,-493.622,0
4.5,98,1,-451.508,0
4.5,226,1,-118.83,0
4.5,26,1,-13.6139,0
4.5,105,1,-5.95278,0
4.5,10,1,-5.33865,0
4.5,33,0,0,1
4.5,94,0,0,0
4.5,97,0,0,0
4.5,99,0,0,0
4.5,99,0,0,0
4.5,101,0,0,0
4.5,104,0,0,0
4.5,109,0,0,0
4.5,109,0,0,0
4.5,120,0,0,0
4.5,132,0,0,0
4.5,151,0,0,0
4.5,158,0,0,0
4.5,201,0,0,0
4.5,216,0,0,0
4.5,232,0,0,0
4.6,10,1,-2492.43,0
4.6,10,1,-1729.43,0
4.6,10,1,-1673.5,0
4.6,117,1,-1491.83,0
4.6,106,1,-1378.98,0
4.6,17,1,-1285.38,0
4.6,14,1,-1219.22,0
4.6,104,1,-1217.19,0
4.6,10,1,-873.896,0
4.6,10,1,-664.687,0
4.6,10,1,-457.145,0
4.6,65,1,-146.018,0
4.6,10,1,-120.287,0
4.6,10,1,-26.1486,0
4.6,7,1,-13.7355,1
4.6,211,1,-7.07072,0
4.6,81,1,-5.05142,0
4.6,69,1,-0.77967,0
4.6,78,0,0,0
4.6,95,0,0,0
4.6,99,0,0,0
4.6,100,0,0,0
4.6,109,0,0,0
4.6,116,0,0,0
4.6,197,0,0,0
4.6,204,0,0,0
4.6,361,0,0,0
4.6,392,0,0,0
4.6,468,0,0,0
4.7,10,1,-2280.55,0
4.7,10,1,-1484.03,0
4.7,121,1,-944.684,0
4.7,10,1,-841.422,0
4.7,23,1,-541.445,0
4.7,10,1,-303.213,0
4.7,96,1,-74.1538,0
4.7,57,1,-47.2977,0
4.7,56,1,-34.063,0
4.7,214,1,-15.405,0
4.7,77,0,0,0
